journal,sentiment_score
Digestion,-0.1344
Critical care nursing clinics of North America,-0.125
Drug development and industrial pharmacy,-0.1143
Macromolecular bioscience,-0.0939
The American surgeon,-0.08410000000000001
JCEM case reports,-0.0599
Trends in cell biology,-0.058300000000000005
Journal of investigative surgery : the official journal of the Academy of Surgical Research,-0.0563
JGH open : an open access journal of gastroenterology and hepatology,-0.0546
Haematologica,-0.051775
Biomedical journal,-0.0458
Diseases of the colon and rectum,-0.0449
Clinical drug investigation,-0.0446
"Journal, genetic engineering & biotechnology",-0.0422
The Lancet. Infectious diseases,-0.0388
Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,-0.0388
Stem cell reviews and reports,-0.0346
Journal of interferon & cytokine research : the official journal of the International Society for Interferon and Cytokine Research,-0.03415
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,-0.0281
Bioanalysis,-0.0278
Pulmonary therapy,-0.0277
Current neurology and neuroscience reports,-0.0238
Nutrition in clinical practice : official publication of the American Society for Parenteral and Enteral Nutrition,-0.0221
Cell adhesion & migration,-0.0208
Acta dermato-venereologica,-0.0205
Current molecular medicine,-0.0186
PLoS biology,-0.0179
Contemporary clinical trials communications,-0.0135
The Lancet. Global health,-0.0116
Journal of pediatric hematology/oncology nursing,-0.0101
The Lancet. Digital health,-0.0098
Lancet regional health. Americas,-0.0091
Natural product research,-0.0071
Journal of psychosocial oncology,-0.005
Journal of applied toxicology : JAT,-0.0039
BJR case reports,-0.0039
European journal of neurology,-0.0037
Annals of internal medicine,-0.0036
International journal of radiation biology,-0.0028
Expert opinion on emerging drugs,-0.0024
Nature cell biology,-0.0013999999999999985
WIREs mechanisms of disease,-0.001
PLoS medicine,-0.0004
"Light, science & applications",0.0
Pharmacology & therapeutics,0.0
JAMA,4.999999999999883e-05
"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",0.0006
Frontiers in surgery,0.0007
Critical reviews in therapeutic drug carrier systems,0.0012
BMC research notes,0.0025
Molecular biology research communications,0.0026
International journal of surgical pathology,0.0029
Cardiovascular and interventional radiology,0.003
Journal of neurosurgery,0.0030333333333333323
BMC psychiatry,0.0034
Arquivos de neuro-psiquiatria,0.0041
Alzheimer's & dementia : the journal of the Alzheimer's Association,0.0044
European journal of haematology,0.0046500000000000005
IEEE journal of biomedical and health informatics,0.0058
Journal of the American Medical Informatics Association : JAMIA,0.0058
Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,0.0066
"Structure (London, England : 1993)",0.00715
Journal of molecular neuroscience : MN,0.0074
Annales de dermatologie et de venereologie,0.0076
"Contemporary oncology (Poznan, Poland)",0.0083
"Journal of neurology, neurosurgery, and psychiatry",0.0094
Fundamental research,0.0096
"Medical sciences (Basel, Switzerland)",0.0104
Neurochemistry international,0.0104
PLoS pathogens,0.0111
Annual review of immunology,0.0111
Respiratory investigation,0.0112
Metabolism: clinical and experimental,0.01185
Nature chemical biology,0.01205
Journal of physiology and biochemistry,0.0124
BMC pharmacology & toxicology,0.0128
Nanotoxicology,0.0129
Neurosurgical focus,0.0135
HemaSphere,0.0144
Nature metabolism,0.01515
Experimental & molecular medicine,0.0152
Expert opinion on therapeutic patents,0.015933333333333334
The Lancet. Neurology,0.016649999999999998
ACS medicinal chemistry letters,0.0167
British journal of pharmacology,0.0167
"MicroRNA (Shariqah, United Arab Emirates)",0.0171
JACC. CardioOncology,0.017174999999999996
Journal of vascular surgery cases and innovative techniques,0.0172
Digital health,0.0173
Food & function,0.0175
Circulation reports,0.0177
Aging cell,0.0187
Clinical colorectal cancer,0.0191
Journal of innate immunity,0.0192
Annals of the Royal College of Surgeons of England,0.0193
"Cell regeneration (London, England)",0.0193
Seminars in radiation oncology,0.019533333333333333
ACS chemical biology,0.0199
BMJ military health,0.0203
Journal of applied genetics,0.0204
Metabolomics : Official journal of the Metabolomic Society,0.0205
Pharmaceutical statistics,0.0208
"Endocrine oncology (Bristol, England)",0.0209
Annals of the rheumatic diseases,0.0211
CPT: pharmacometrics & systems pharmacology,0.0221
Frontiers of medicine,0.022166666666666668
Regenerative therapy,0.02255
Clinical and translational gastroenterology,0.0226
Biotechnology journal,0.022766666666666657
International journal of colorectal disease,0.0228
Journal of neuroimmunology,0.022866666666666664
Sheng wu gong cheng xue bao = Chinese journal of biotechnology,0.022899999999999997
"Materials (Basel, Switzerland)",0.0229
Chemotherapy,0.0229
Global public health,0.023
Proteoglycan research,0.0232
Journal of microbiology and biotechnology,0.0234
Journal of the peripheral nervous system : JPNS,0.0235
Nan fang yi ke da xue xue bao = Journal of Southern Medical University,0.0238
Rhinology,0.025
JAMA dermatology,0.0253
Taiwanese journal of obstetrics & gynecology,0.025500000000000002
European thyroid journal,0.0256
Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,0.0265
The New England journal of medicine,0.027012500000000002
"Cells, tissues, organs",0.0271
Acta tropica,0.0273
Laryngoscope investigative otolaryngology,0.0277
Orphanet journal of rare diseases,0.028066666666666667
Preventive medicine,0.0281
Geburtshilfe und Frauenheilkunde,0.0289
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,0.0291
Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,0.0293
Annals of neurology,0.0303
Cancer & metabolism,0.03075
"Journal of health, population, and nutrition",0.0308
The Journal of rural health : official journal of the American Rural Health Association and the National Rural Health Care Association,0.0308
Life medicine,0.03115
Seminars in immunopathology,0.0312
"British journal of hospital medicine (London, England : 2005)",0.0315
Clinical breast cancer,0.031700000000000006
eGastroenterology,0.0318
"Journal of photochemistry and photobiology. B, Biology",0.0321
European review for medical and pharmacological sciences,0.0322
Free radical biology & medicine,0.03237142857142857
Developmental cell,0.032400000000000005
JACS Au,0.0325
NPJ digital medicine,0.032600000000000004
Value in health regional issues,0.0328
Medecine tropicale et sante internationale,0.0335
Immunity,0.03359583333333333
Oncology,0.034249999999999996
Alimentary pharmacology & therapeutics,0.0346
Ocular immunology and inflammation,0.0346
Nature reviews. Drug discovery,0.03475
NeuroSci,0.0354
The Lancet regional health. Western Pacific,0.0355
Clinical and experimental dermatology,0.035500000000000004
Open life sciences,0.0356
The Lancet. Haematology,0.03583333333333333
Schizophrenia research,0.036
The Nigerian postgraduate medical journal,0.0364
Clinical transplantation,0.0368
Zhonghua zhong liu za zhi [Chinese journal of oncology],0.036820000000000006
Radiology,0.0371
American journal of otolaryngology,0.0374
Clinical and experimental rheumatology,0.0375
Microbiology and immunology,0.0375
"Life (Basel, Switzerland)",0.037524999999999996
Journal of translational autoimmunity,0.0376
Journal of psychiatric research,0.0376
"Eye (London, England)",0.0378
Molecular cell,0.03915
The FEBS journal,0.0393
"Immunometabolism (Cobham, Surrey)",0.0394
AAPS PharmSciTech,0.0396
DEN open,0.0396
International journal of oral and maxillofacial surgery,0.0401
Current protocols,0.0401
Journal of immunological methods,0.0406
"Physiology (Bethesda, Md.)",0.0408
American journal of clinical pathology,0.04095
"Clinics (Sao Paulo, Brazil)",0.0411
Clinical imaging,0.041100000000000005
Emergency radiology,0.04185
Cell reports methods,0.042166666666666665
Neuroendocrinology,0.0434
Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale,0.0438
Journal of Nippon Medical School = Nippon Ika Daigaku zasshi,0.0442
Journal of managed care & specialty pharmacy,0.04426666666666667
Respiratory medicine,0.0445
Clinical advances in hematology & oncology : H&O,0.0449
Surgical neurology international,0.045
Minerva urology and nephrology,0.0457
Melanoma management,0.0457
Current opinion in nephrology and hypertension,0.0462
Modern rheumatology,0.0462
Applied biochemistry and biotechnology,0.04656666666666667
Molecular & cellular oncology,0.0466
Annals of gastroenterology,0.04686666666666667
Advances in protein chemistry and structural biology,0.047040000000000005
Cold Spring Harbor perspectives in medicine,0.047049999999999995
American journal of human genetics,0.0472
JAMA otolaryngology-- head & neck surgery,0.04732
Journal of extracellular biology,0.0474
Brazilian journal of otorhinolaryngology,0.0477
Frontiers in veterinary science,0.04795
"Cancer journal (Sudbury, Mass.)",0.04815
Diagnostic pathology,0.04825
Indian journal of pharmacology,0.0484
Innovation (Cambridge (Mass.)),0.0486
Journal of natural medicines,0.0487
The Journal of biological chemistry,0.04885
Blood cancer journal,0.04886666666666666
Current medical research and opinion,0.04935
South Dakota medicine : the journal of the South Dakota State Medical Association,0.0496
"Iranian journal of allergy, asthma, and immunology",0.049699999999999994
International journal of medicinal mushrooms,0.0499
Frontiers in molecular medicine,0.05
Cell biochemistry and biophysics,0.0501
Journal of clinical laboratory analysis,0.0503
Cancer gene therapy,0.0505
The journal of physical chemistry. B,0.0507
Die Gastroenterologie..,0.0509
Journal of medical systems,0.0509
BMC neurology,0.0509
European journal of heart failure,0.0509
Stem cell reports,0.05095
Neurosurgical review,0.051000000000000004
Trends in molecular medicine,0.0510625
Indian journal of medical microbiology,0.0511
Immunology,0.051128571428571426
International journal of community based nursing and midwifery,0.0512
Therapeutic advances in vaccines and immunotherapy,0.0512
European journal of case reports in internal medicine,0.0515
Minimally invasive therapy & allied technologies : MITAT : official journal of the Society for Minimally Invasive Therapy,0.0516
Drug development research,0.0518
Clinical laboratory,0.0521
International urology and nephrology,0.0522
Experimental dermatology,0.0524
Journal of bone oncology,0.05245
Cambridge prisms. Precision medicine,0.0525
Neuro-oncology practice,0.05255
The Annals of thoracic surgery,0.0528
Liver international : official journal of the International Association for the Study of the Liver,0.052950000000000004
Molecular cancer research : MCR,0.05383333333333334
Science signaling,0.0545
Journal of geriatric oncology,0.0546
Current pharmaceutical design,0.054914285714285714
Yonago acta medica,0.0558
Journal of medical case reports,0.0562
Cirugia espanola,0.0563
Medical image analysis,0.0565
The American Journal of dermatopathology,0.0566
"Ear, nose, & throat journal",0.0567
Cytometry. Part A : the journal of the International Society for Analytical Cytology,0.0571
IEEE transactions on bio-medical engineering,0.0571
Cancer cytopathology,0.0571
International immunology,0.057133333333333335
Radiologic clinics of North America,0.057300000000000004
Expert opinion on drug discovery,0.0575
International dental journal,0.0577
JMIR research protocols,0.05773333333333333
Redox biology,0.0579
Esophagus : official journal of the Japan Esophageal Society,0.05793333333333334
JCO global oncology,0.058025
Molecular diversity,0.058499999999999996
"Cancer drug resistance (Alhambra, Calif.)",0.05876363636363636
EJNMMI radiopharmacy and chemistry,0.0588
Oncology reports,0.05948333333333333
"Biomedical materials (Bristol, England)",0.0598
European journal of anaesthesiology,0.0598
"Lancet (London, England)",0.05985714285714285
Molecular biomedicine,0.060200000000000004
"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",0.0604
Nucleic acids research,0.0605
Mammalian genome : official journal of the International Mammalian Genome Society,0.0606
Neurobiology of disease,0.060649999999999996
Case reports in radiology,0.0607
Cancer research and treatment,0.06073333333333333
Medical molecular morphology,0.0608
Advances in biological regulation,0.0611
Journal of surgical oncology,0.0616
Allergy,0.0616
Actas urologicas espanolas,0.062099999999999995
JTO clinical and research reports,0.06211578947368421
BMC infectious diseases,0.062116666666666674
Cell research,0.0623
Cancer investigation,0.0625
Archives of biochemistry and biophysics,0.0625
Cell host & microbe,0.0625
Annales de pathologie,0.0625
Seminars in immunology,0.0627
Mathematical biosciences and engineering : MBE,0.0628
Integrative cancer therapies,0.0629
Therapeutic advances in urology,0.0629
Journal of autoimmunity,0.06306666666666666
JMIR cancer,0.0631
mBio,0.06355
The EMBO journal,0.06369999999999999
Infectious disease reports,0.0639
Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,0.0641
Seminars in arthritis and rheumatism,0.06416666666666666
Journal of pediatric gastroenterology and nutrition,0.0642
Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae,0.0643
Acute medicine & surgery,0.0644
Seminars in diagnostic pathology,0.0644
Genes,0.06456666666666666
Journal of medical cases,0.0649
Hamostaseologie,0.06495000000000001
RSC medicinal chemistry,0.06505
NEJM evidence,0.0655
Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,0.06555
Revue medicale de Liege,0.06555
Revue medicale suisse,0.065675
Autophagy reports,0.0657
Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,0.0658
International journal of clinical and experimental pathology,0.066
Journal of patient-reported outcomes,0.0664
ACS pharmacology & translational science,0.0667
Chinese medical journal,0.06675
Journal of medical economics,0.06709999999999999
Journal of medical Internet research,0.0671
Briefings in bioinformatics,0.067375
Japanese journal of clinical oncology,0.0674
Carcinogenesis,0.0675
"Internal medicine (Tokyo, Japan)",0.06783333333333334
European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,0.0679
BMC public health,0.06792857142857142
Biology,0.06808
Radiology case reports,0.0681
"Neoplasia (New York, N.Y.)",0.06817
Annals of translational medicine,0.0682
Zentralblatt fur Chirurgie,0.0683
Journal of clinical and experimental hematopathology : JCEH,0.0684
Metabolites,0.06845
Leukemia & lymphoma,0.06853333333333333
Journal of hepatology,0.06878571428571428
Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases,0.0689
Biomaterials advances,0.0689
The Journal of clinical endocrinology and metabolism,0.0691
Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,0.0696
Applied immunohistochemistry & molecular morphology : AIMM,0.0698
Science progress,0.07003333333333334
The Journal of thoracic and cardiovascular surgery,0.0702
Italian journal of pediatrics,0.0704
Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,0.0705
American journal of physiology. Heart and circulatory physiology,0.0705
Journal of cancer research and therapeutics,0.0706
Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,0.07073333333333333
The Lancet. Oncology,0.07107777777777778
The Journal of pharmacology and experimental therapeutics,0.0713
Cancer pathogenesis and therapy,0.07135
"Antioxidants (Basel, Switzerland)",0.0719
Cancer cell,0.07191428571428571
Journal of pharmacological sciences,0.072
"Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica",0.072
"Patterns (New York, N.Y.)",0.0721
Rare tumors,0.0721
Translational andrology and urology,0.07216666666666667
JAMA surgery,0.0722
Nature reviews. Urology,0.07225000000000001
"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",0.0723
World journal of radiology,0.07233333333333333
Implementation science : IS,0.0724
Journal of Korean Neurosurgical Society,0.0726
"Annals of noninvasive electrocardiology : the official journal of the International Society for Holter and Noninvasive Electrocardiology, Inc",0.0727
Briefings in functional genomics,0.0729
Health and social care delivery research,0.0732
"Chemical communications (Cambridge, England)",0.0733
Rhode Island medical journal (2013),0.0733
Virulence,0.0733
Autophagy,0.07339999999999999
"Antibodies (Basel, Switzerland)",0.07343333333333334
Molecular carcinogenesis,0.07356
Pigment cell & melanoma research,0.0737
Expert review of vaccines,0.07436666666666668
International journal of immunopathology and pharmacology,0.074425
The Lancet. Rheumatology,0.07465
"International journal of radiation oncology, biology, physics",0.0747
Infection and immunity,0.0747
ChemMedChem,0.0748
Chinese medicine,0.075
Current drug targets,0.075
Drug discovery today,0.075
The Journal of experimental medicine,0.07504999999999999
International journal of molecular medicine,0.0751
Psychiatry research. Neuroimaging,0.0752
American journal of therapeutics,0.0753
BMC medical genomics,0.07545
Current opinion in psychiatry,0.0755
Critical reviews in immunology,0.0756
Critical reviews in eukaryotic gene expression,0.07565
"Bladder cancer (Amsterdam, Netherlands)",0.07576000000000001
Journal of thrombosis and haemostasis : JTH,0.0758
British journal of cancer,0.07590555555555556
JPMA. The Journal of the Pakistan Medical Association,0.076
Ophthalmology science,0.076
Journal of kidney cancer and VHL,0.0761
Immuno-oncology technology,0.07626
Zhonghua bing li xue za zhi = Chinese journal of pathology,0.0763
Blood reviews,0.07646666666666667
Annals of palliative medicine,0.0765
Pediatrics,0.07675
Frontiers in cellular and infection microbiology,0.07687999999999999
Oral oncology,0.077
Vaccine,0.07705999999999999
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,0.0771
Journal of surgical case reports,0.07719999999999999
Molecular and cellular probes,0.07723333333333333
Cellular signalling,0.07725
"Plants (Basel, Switzerland)",0.0773
Journal of immunology research,0.07744
Journal of molecular histology,0.07745
Journal of gastrointestinal cancer,0.07765454545454545
Frontiers in nutrition,0.07773333333333333
Aktuelle Urologie,0.0778
Risk management and healthcare policy,0.0779
Journal of investigative medicine high impact case reports,0.07830000000000001
Journal of the American Academy of Dermatology,0.07855000000000001
Tropical parasitology,0.0786
JAMA network open,0.07870769230769231
Radiologia,0.0789
NAR genomics and bioinformatics,0.079
Nature structural & molecular biology,0.0792
Clinics in dermatology,0.0792
European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,0.079275
Journal of the American Heart Association,0.0794
Current opinion in pediatrics,0.0794
Medical physics,0.0795
Neuro-oncology,0.0796
Updates in surgery,0.0796
Synthetic and systems biotechnology,0.0798
EJNMMI research,0.07983333333333333
Blood coagulation & fibrinolysis : an international journal in haemostasis and thrombosis,0.08
European journal of pharmacology,0.08009090909090909
Inflammation research : official journal of the European Histamine Research Society ... [et al.],0.0801
Immunotherapy,0.08013846153846153
"Parasites, hosts and diseases",0.0802
Ecancermedicalscience,0.0802
Cancer genomics & proteomics,0.08030000000000001
Probiotics and antimicrobial proteins,0.08032500000000001
Nature cancer,0.08048695652173912
Journal of comparative effectiveness research,0.0806
Nature reviews. Immunology,0.08066666666666666
JAMA oncology,0.081
Radiology and oncology,0.081
Nature reviews. Clinical oncology,0.08107142857142857
Aging and disease,0.08107500000000001
The Laryngoscope,0.08109999999999999
Health science reports,0.0811
BMJ open,0.08120526315789474
Ageing research reviews,0.08122
Annals of hematology,0.08125
Expert review of pharmacoeconomics & outcomes research,0.0813
Journal of inflammation research,0.08135384615384617
Advanced drug delivery reviews,0.08143333333333333
"Healthcare (Basel, Switzerland)",0.08145000000000001
Brazilian journal of biology = Revista brasleira de biologia,0.0815
Brain : a journal of neurology,0.0816
Cancer genetics,0.08168
Chronobiology international,0.0817
Journal of immunotherapy and precision oncology,0.08172
Gland surgery,0.0818
Acta histochemica et cytochemica,0.0818
Journal of neuroendocrinology,0.0818
Essays in biochemistry,0.08192
Current opinion in immunology,0.0821
Diagnostic cytopathology,0.0821
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,0.08259999999999999
Journal of neurosurgery. Pediatrics,0.0826
"Cancer communications (London, England)",0.08262
International reviews of immunology,0.0827
Seminars in pediatric neurology,0.08275
Phytotherapy research : PTR,0.0828
Head & neck,0.08280000000000001
International journal of oncology,0.0829
Chinese medical journal pulmonary and critical care medicine,0.083
Cancer nursing,0.08324999999999999
Genes and immunity,0.083275
Taiwan journal of ophthalmology,0.0833
Molecular imaging and radionuclide therapy,0.0833
Cell genomics,0.08330000000000001
Annals of behavioral medicine : a publication of the Society of Behavioral Medicine,0.0835
NPJ vaccines,0.08361666666666667
Anticancer research,0.08374999999999999
Molecular neurobiology,0.084
Reviews on recent clinical trials,0.0841
Biomolecules & therapeutics,0.0843
Mediators of inflammation,0.0844
Journal of cutaneous medicine and surgery,0.0844
Transfusion medicine reviews,0.0844
Journal of ethnopharmacology,0.08466666666666667
Science advances,0.08471538461538461
Journal of immunotoxicology,0.0848
The veterinary quarterly,0.0849
Progress in biophysics and molecular biology,0.08499999999999999
"Human reproduction (Oxford, England)",0.085
Anti-cancer agents in medicinal chemistry,0.08512
Clinical journal of oncology nursing,0.08539999999999999
mAbs,0.08545
Seminars in cancer biology,0.08545000000000001
Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,0.0856
JCO oncology practice,0.08563333333333334
Journal of Zhejiang University. Science. B,0.0859
Immunopharmacology and immunotoxicology,0.08595
eLife,0.086
American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting,0.08615882352941177
Cancer biotherapy & radiopharmaceuticals,0.0862
Nanoscale advances,0.0862
European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,0.0863
Current opinion in oncology,0.08633076923076924
World journal of clinical cases,0.08639999999999999
Respiratory medicine and research,0.0865
Trends in cancer,0.0866
International journal of environmental research and public health,0.08675000000000001
"Molecular medicine (Cambridge, Mass.)",0.08675555555555556
BMC methods,0.0869
Aging medicine (Milton (N.S.W)),0.0869
Journal of cancer survivorship : research and practice,0.08700000000000001
Seminars in ophthalmology,0.0873
